,questions,generated_answers,reference_answers,documents,correctness,groundedness,relevance,retrieval_relevance
34,what is the name of king george vi wife?,Elizabeth,Queen Elizabeth The Queen Mother,"George VI was born during the reign of his great-grandmother Queen Victoria.

Albert Frederick Arthur George took the regnal name George VI.

Albert took the regnal name George VI.

George VI died on 6 February 1952.

George VI was born as Albert Frederick Arthur George on 14 December 1895.",1,1,5,1
35,where does kurdish people live?,Kurdistan,Asia,"Kurds are an ethnic group who live in the northern Middle East.

The majority of Kurds still live in Kurdistan.

The traditional Kurdish way of life was nomadic.

Kurds are one of the indigenous peoples of the Mesopotamian plains and the highlands in what are now south-eastern Turkey, north-eastern Syria, northern Iraq, north-western Iran, and south-western Armenia.

Kurdistan is also known as 'Land of the Kurds'.",1,1,5,4
36,what are members of the house of representatives called?,representatives,Representative,"Members of the House of Representatives are known properly as representatives.

The House is composed of representatives.

A representative is also referred to as a congressman or congresswoman.

For most of the nation's history, members of the U.S. House of Representatives have been addressed as 'Congressman' or 'Congresswoman'.

Learn more about representatives at The House Explained.",1,5,5,4
37,who owns the portland press herald?,"The National Trust for Local News is the new owner of the Portland Press Herald and numerous other daily and weekly newspapers. Previously, Reade Brower was the owner.","Blethen Maine Newspapers, Inc.","Reade Brower is the owner of the Portland Press Herald and most of Maine's other daily newspapers.

The National Trust for Local News is the new owner of the Portland Press Herald and numerous other daily and weekly newspapers.

MaineToday Media is the parent company of the Press Herald, the Kennebec Journal, and Morning Sentinel.

Masthead Maine is the newspapers' parent company.

The Portland Press Herald is a daily newspaper based in South Portland, Maine.",3,1,3,1
38,where was david berkowitz arrested?,Yonkers,New York City,"David Berkowitz was arrested on august 10th 1977.

David Berkowitz was arrested on August 10, 1977.

On August 10, David Berkowitz was arrested while leaving his Yonkers home.

Berkowitz was arrested while leaving his home in Yonkers.

Berkowitz was arrested while leaving his home in Yonkers.",1,1,5,4
39,what countries does the panama canal go through?,Panama,Panama Canal Zone,"The Panama Canal is owned and administered by Panama.

The Panama Canal is a constructed waterway.

The Panama Canal connects the Atlantic and Pacific oceans across the Isthmus of Panama.

The Republic of Panama owns and administers the Panama Canal.

The Panama Canal connects an additional 220 ports and 10 countries.",1,1,1,3
40,who did woody harrelson play on cheers?,Woody Boyd,Woody Boyd,"Woody Harrelson played Woody Boyd in Cheers.

Woody Harrelson played bartender Woody Boyd in Cheers.

Woody Harrelson is widely known for his work on the NBC sitcom Cheers.

Woody Harrelson joined the cast of Cheers in 1985 in season four.

Woody Harrelson was nominated for five Emmy Awards for his role in Cheers.",5,1,5,5
41,who plays bob kelso in scrubs?,Ken Jenkins,Ken Jenkins,"Robert 'Bob' Kelso is a fictional character played by Ken Jenkins in the American comedy-drama Scrubs.

Bob Kelso was born in 1942 in

Bob Kelso suffers from a sexually transmitted disease.

Bob Kelso's father was a doctor.

Bob Kelso gives lip service to patients' well-being.",5,1,5,4
42,what college did joakim noah?,I don't know.,University of Florida,"Joakim Noah played at Poly Prep his junior season.

Joakim Noah was born in New York.

Joakim Noah transferred to Lawrenceville, a prep school five miles outside of Princeton, N.J., for his senior season.

Joakim Noah averaged 24.0 points and 12.0 rebounds during his senior season.

Joakim Noah averaged 24.0 points, 12.0 rebounds, and 5.0 blocked shots during his junior season.",1,1,1,4
43,what is los angeles california time zone?,Pacific Time Zone,Pacific Time Zone,"The analog html clock always displays correct current local time for Los Angeles, California.

Get Free Website Html Clock for Los Angeles Online Html clock provided by 24TimeZones.com is a nice and fancy website widget.

You can adjust color and size of your Los Angeles clock.

East Los Angeles is an unincorporated area situated within Los Angeles County, California, United States.

South Los Angeles is also known as South Central Los Angeles or simply South Central.",1,5,5,1
44,what kind of products does nike sell?,"athletic footwear, apparel, equipment, and accessories.",Athletic Shoes & Apparel,"NIKE sells a line of equipment and accessories under the NIKE Brand name.

Nike markets several products under its own brand.

NIKE, Inc. is engaged in the designing, marketing and distributing of athletic footwear, apparel, equipment and accessories and services for sports and fitness activities.

Nike is a major supplier of sports equipment.

Nike generates its sales from three main business segments: footwear, apparel, and equipment.",4,5,5,4
45,what guitar did joe walsh play?,I don't know.,Fender Stratocaster,"Joe Walsh acquired his first guitar at the age of 10.

Joe Walsh began his career as a rock musician.

Joe Walsh played guitar and lead vocals in James Gang.

Joe Walsh decided that he wanted to pursue a career as a guitarist after learning the Ventures' 'Walk Don't Run'.

Joseph Fidler Walsh is an American guitarist, singer, and songwriter.",1,1,1,2
46,who does michael keaton play in cars?,Donkey,Chick Hicks,"Michael Keaton performed voice roles in the animated films Cars (2006), Toy Story 3 (2010), and Minions (2015).

Michael Keaton is also in Herbie Fully Loaded as well as Cars.

Michael Keaton is an American actor.

Michael Keaton reprised

Michael Keaton gained early recognition for his comedic roles in Night Shift (1982), Mr. Mom (1983), and Beetlejuice (1988).",1,1,1,4
47,what is the government of france for 2010?,I don't know.,Constitutional republic,"France announced on March 10 that it would treat the council as Libya's legitimate government.

The content of the map is in French.

The Free French Provisional Government of the French was established after the liberation of France.

Vichy France was officially the French State.

Boselli formed a larger government along the lines of the French Union Sacree.",1,1,1,2
48,what led to stalin rise in power?,successes in Georgia,"In 1912, Lenin, who was forced to flee the country, chose him to serve on the first Central Committee of the Bolshevik party, which had now broken from the Social Democrats.","Stalin played an important role in the coup d'etat.

Stalin played an important role in the Bolshevik coup d'etat.

Joseph Stalin's successes in Georgia propelled him into the ranks of the Politburo in late 1921.

Stalin's position as secretary general of the Central Committee provided the power base for his dictatorship.

Joseph Stalin",1,1,1,4
49,who wrote st trinians?,"Frank Launder and Sidney Gilliat co-wrote ""The Belles of St Trinian's,"" which is part of the St. Trinian's series.",Ronald Searle,"St. Trinian's is a girls' school in England.

The films are set in St Trinian's School.

The film was the first of the St. Trinian's series.

Frank Launder co-wrote The Belles of St Trinian's with Sidney Gilliat.

St Trinian's is a 2007 British comedy film.",2,4,5,3
50,what year did adam morrison get drafted?,2007,2006 NBA Draft,"Adam Morrison is an American former professional basketball player.

Adam Morrison was a basketball player.

Adam Morrison was not heavily recruited out of high school.

Adam Morrison played for the L.A. Lakers from 2009 to 2010.

Adam Morrison is unsigned.",1,1,5,1
51,where did kennedy's inaugural address take place?,Capitol Hill,John F. Kennedy 1961 presidential inauguration,"APA citation style: President Kennedy delivers inaugural address on Capitol Hill, Washington, D.C. on 1/20.

APA citation style: (1961) President Kennedy delivers inaugural address at Capitol Hill, Washington, D.C. 1/20.

On January 20, 1961, President John F. Kennedy delivered his inaugural address.

John F. Kennedy's inaugural address reflected his core beliefs and life experience.

John F. Kennedy's inaugural address encompassed the major themes of his campaign.",1,1,5,4
52,where did the second battle of ypres occur?,I don't know.,Belgium,"The First Battle of Ypres was fought on the Western Front around Ypres, in West Flanders, Belgium.

The First Battle of Ypres was a battle of the First World War.

The First Battle of Ypres was part of the First Battle of Flanders.

North of Ypres, the fighting continued in the Battle of the Yser (16–31 October).

The battles at Ypres began at the end of the Race to the Sea.",1,1,1,1
53,where did kate gosselin grew up?,I don't know.,Philadelphia,"Leona Elizabeth Loftus came from McKees Rocks.

Brandi Glanville was raised in Sacramento, California.

Elizabeth 'Betty' Broder had grown up as part of an impoverished family.

At the age of 16, Brandi Glanville moved to Paris

Maurd Gage Baum lived in Fayetteville, New York, with her aging parents.",1,1,1,1
54,when will the world end mayans?,"December 21, 2012",2012,"December 21, 2012, is the day that many say the Maya predicted the world would end.

According to some, the Maya had foreseen the apocalypse on December 21.

The 1996 analysis was considered evidence that the Maya calendar had predicted the end of the world.

New Age misinterpretations about the end of days were caused by the end of the Mayan calendar cycle.

The Maya were expert timekeepers.",1,1,5,4
55,who is nick lachey married to?,Vanessa Lachey,Vanessa Minnillo,"Nicholas Scott Lachey later starred in the reality series Newlyweds: Nick and Jessica with his then-wife, Jessica Simpson.

Newlyweds: Nick and Jessica starred Nick Lachey and then-wife Jessica Simpson.

Nicholas Scott Lachey co-hosted the Netflix shows Love Is Blind and The Ultimatum with his wife Vanessa Lachey.

Nicholas Scott Lachey has worked closely with Drew Lachey.

Nicholas Scott Lachey is the brother of singer and actor Drew Lachey.",1,1,5,1
56,what team does mike fisher play for?,"Based on the provided information, Mike Fisher played for the Nashville Predators in the National Hockey League (NHL). However, the given text only mentions his playoff performance with the NHL team, without explicitly stating the team name. For precise team affiliation, refer to the most recent and accurate sports database or news source.",Nashville Predators,"Mike Fisher posted career playoff highs with 5 goals, 5 assists, and 10 points in 20 games.

Derek Fisher played for the Golden State Warriors, Utah Jazz, Oklahoma City Thunder, and Dallas Mavericks.

Derek Fisher re-signed

Derek Fisher played professionally in the National Basketball Association (NBA) for 18 seasons.

Derek Fisher signed as a free agent with the Golden State Warriors after the 2003-04 NBA season.",3,1,3,1
57,who plays stephanie plum in one for the money?,Katherine Heigl,Katherine Heigl,"At the beginning of the first book, One for the Money, Stephanie Plum has been laid off from her job as a lingerie buyer.

Katherine Heigl of Grey's Anatomy landed the role for the feature film, One for the Money.

One for the Money is a 2012 American crime comedy film.

Stephanie Plum often seeks alternative ways to earn money to pay her bills.

Stephanie Plum's financial situation is partially due to her poor financial skills.",5,1,5,2
58,where president obama was born?,Hawaii,Honolulu,"Barack Obama was born in Honolulu, Hawaii.

Barack Obama was born on August 4, 1961 at the Kapiolani Maternity & Gynecological Hospital in Honolulu, Hawaii.

Barack Obama Hussein Obama II was born on August 4, 1961, in Hawaii.

Barack Obama was born on August 4, 1961.

Barack Obama was born in Hawaii on August 4, 1961.",1,1,5,5
59,what did shannon hoon die from?,cocaine overdose,Drug overdose,"Shannon Hoon died from a cocaine overdose in October 1995 at the age of 28.

Shannon Hoon died from a fatal drug overdose two months after the album's release.

Plenty has been written about the tragic death of Blind Melon's Shannon Hoon.

The album's promotion was abruptly cut off after Shannon Hoon's death.

Shannon Hoon recorded the birth of his daughter just months before his death.",1,5,5,4
60,where is tyrese gibson from?,"Los Angeles, California",Watts,"Tyrese Darnell Gibson is from Los Angeles, California.

Tyrese Gibson graduated from Locke High School in 1996.

Tyrese Darnell Gibson is also known as Tyrese.

Tyrese Gibson grew up in Watts on 113th Street during the late 80s.

Tyrese Darnell Gibson is an American R&B singer, rapper, actor, former fashion model, and MTV VJ.",1,1,5,5
61,where did paula deen go to school?,Albany High School,Albany High School,"Paula Deen went to Albany High School.

Paula Deen graduated from Albany High School in 1965.

Paula Deen graduated from Albany High School in 1965.

Paula Deen grew up in southwestern Georgia.

Paula Deen is an Albany native.",1,1,5,4
62,what year was first world series?,1903,1903 World Series,"The First World Series is about Major League Baseball.

Major League Baseball's first World Series game occurred on Oct. 1, 1903.

The World Series was first played in 1903.

In 1903, both teams were competing against one another in the first official 'World Series'.

The grounds now occupied by Cabot Physical Education Center were used for the first World Series.",1,5,5,5
63,what is malaysian currency?,Malaysian ringgit.,Malaysian ringgit,"The Malaysian ringgit is the currency of Malaysia.

The Malaysian ringgit is the official currency of Malaysia.

The Malaysian ringgit is the official currency of Malaysia.

The Malaysian dollar was issued by the new central bank, Central Bank of Malaysia.

The Malaysian dollar was issued by the new central bank, Central Bank of Malaysia.",1,1,5,1
64,who do pagans worship?,pre-Christian gods and goddesses,Odin,"Some pagans

Paganism worships the old pre-Christian gods and goddesses through seasonal festivals and other ceremonies.

Paganism believes that nature is sacred.

Paganism is related to pangere.

Some modern pagan religions are monotheistic.",2,1,5,3
65,who plays king julian madagascar?,Jeff Bennett,Sacha Baron Cohen,"Alex is a primary character in Madagascar.

Jeff Bennett plays the lemur King Julien.

This is a list of characters from the DreamWorks Animation franchise of Madagascar films and TV shows.

Andy Richter plays the lemur King Julien.

Kevin Michael Richardson plays the lemur Mort.",1,1,5,4
66,what is the name of the currency used in switzerland?,Swiss franc,Swiss franc,"The currency in Switzerland is the Swiss franc.

Swiss currency services.

Tips for exchanging currency in Switzerland.

Once in Switzerland, you'll see the symbol CHF used to show prices.

The Swiss franc is the currency and legal tender of Switzerland and Liechtenstein.",5,1,5,4
67,what is the currency of brazil now?,Real,Brazilian real,"The Brazilian real is the official currency of Brazil.

The currency in Brazil is called the Real (BRL).

Exchanging Money in Rio has several different exchange rates.

The Brazilian real experienced a significant devaluation amounting to 1 USD = 2 BRL.

The Central Bank of Brazil is the central bank and the issuing authority of the Brazilian real.",4,1,5,4
68,where is the mts iceplex in winnipeg?,downtown,Canada,"The arena was named MTS Centre as part of a naming rights agreement with Manitoba Telecom Services (MTS).

The idea of Winnipeg returning to the NHL gained momentum after the MTS Centre opened.

Canada Life Centre is an indoor arena in downtown Winnipeg, Manitoba, Canada.

The arena is the home of the National Hockey League's Winnipeg Jets and their American Hockey League affiliate, the Manitoba Moose.

The arena stands on the site of the former Eaton's Winnipeg store.",1,1,1,2
69,what is the state name of new york city?,New York,New York,"New York is often called New York City or NYC.

The primary nickname of New York City is The Empire State.

New York City is frequently shortened to simply 'New York', 'NY', or 'NYC'.

The City So Nice They Named It Twice is a reference to 'New York, New York' as both the city and state.

New York City is also known as 'The City' in some parts of the Eastern United States.",1,1,5,5
70,who was jesse james killed by?,Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,"Jesse James died in 1882.

Jesse James killed Robert Ford on April 3, 1882.

Jesse James was shot and killed in a house on April 3, 1882.

Jesse James was an outlaw.

Jesse James died at the age of 34.",1,1,5,4
71,what money to take to turkey?,Turkish lira.,Turkish lira,"There are typical costs to help you work out how much money you need to take to Turkey.

How much Turkish lira should you take to Turkey?

Make sure you have some lira on hand in Turkey.

It's best to bring both cash and cards to Turkey.

When deciding how much money to take to Turkey, factor in tips.",1,1,1,3
72,what currency can you use in barbados?,Barbadian Dollar,Barbadian dollar,"FAQ: What is the currency in Barbados called?

Where to get the official currency in Barbados.

US currency is accepted across the island of Barbados.

The official currency in Barbados is the Barbadian Dollar.

The official currency in Barbados is the Barbadian Dollar.",1,5,5,2
73,where did tony gonzalez play college basketball?,"University of California, Berkeley","University of California, Berkeley","Tony Gonzalez played basketball.

Tony Gonzalez continued his basketball career at the University of California, Berkeley.

In his junior year, Tony Gonzalez played in 28 games.

The decision to choose between football and basketball was made for Tony Gonzalez.

Tony Gonzalez chose to attend the University of California, Berkeley.",5,1,5,2
74,where is olympic national park located?,"Washington, on the Olympic Peninsula.",Washington,"Olympic National Park is a national park of the United States.

Olympic National Park is located in Washington, on the Olympic Peninsula.

Olympic National Park is the largest wilderness area in Washington.

The smaller coastal portion of Olympic National Park is s.

The coastal portion of Olympic National Park has a strip of adjacent forest.",4,1,5,4
75,where is president kennedy buried?,Arlington National Cemetery,Arlington National Cemetery,"John F. Kennedy is buried in a special grave at Arlington National Cemetery.

Breadcrumb President Kennedy's Grave is located in Arlington National Cemetery.

President John Fitzgerald Kennedy and two Kennedy infants are interred in Lot 45, Section 30, Arlington National Cemetery.

JFK admired the view from the site selected for his grave.

The president's permanent gravesite is a little further down the hill.",1,1,5,4
76,where do burmese cats originate from?,Southeast Asia,Asia,"The Burmese cat originated in Burma.

The Burmese cat originated in Burma.

Burmese cats have their origins in Burma (now Myanmar) in Southeast Asia.

Burmese cats have early origins in Southeast Asia.

The Burmese cat is believed to have originated in Southeast Asia.",1,5,5,5
77,what team does heskey play for?,Newcastle Jets,Newcastle Jets FC,"Emile Heskey is an English former professional footballer.

Emile Heskey started his career with Leicester City.

Emile Heskey represented England in international football.

Emile Heskey played for the A-League club Newcastle Jets.

Emile Heskey played as a striker.",1,1,5,5
78,what is newcastle metro?,overground and underground light rail rapid transit system,Tyne and Wear,"The Metro is made up of overground and underground stations across Newcastle, Sunderland, Gateshead, and the coast.

Monument Metro Station is in the heart of Newcastle city centre.

The Metro is a quick, direct, and affordable way to travel between town centres across Tyne and Wear and Newcastle Airport.

The Tyne and Wear Metro serves Newcastle upon Tyne, Gateshead, North Tyneside, South Tyneside, and the City of Sunderland.

The Tyne and Wear Metro is an overground and underground light rail rapid transit system.",5,5,5,4
79,who won the league cup in 2002?,Don't know.,Liverpool F.C.,"Portsmouth was the 2002-03 Football League First Division champion.

The first matches of the 2002-03 FA Premier League were played on 17 August 2002.

Manchester United 5-3 Newcastle United on 23 November 2002.

Bolton Wanderers 4-3 Newcastle United on 26 December 2002.

The run of unbeaten Premier League games ended at Old Trafford on 7 December 2002.",1,1,1,1
80,what ocean is around hawaii?,Pacific Ocean,Pacific Ocean,"Hawaii is located in the Pacific Ocean.

Hawaii's oceanic embrace opens up a world of aquatic adventures.

Hawaii has turquoise waters stretching as far as the eye can see.

The Pacific Ocean surrounding Hawaii is a thriving ecosystem teeming with life.

There is a fundamental question that often goes unasked about the ocean Hawaii is in.",5,1,5,4
